NO.,시설구분,단말번호,관측소코드,위도,경도,고도,주소,설치층수,건물전체층수,제조사,연결상태,축보정,설치시점,수신시간,등록순번,시설구분세부,H3 Cell,Same_H3_Count,H3_Category,센서 품질,Sensor_Replacement_Status,통신품질기준,Communication_Quality_Status,Image_Link_1,Image_Link_2
62,FSM,01227587236,EUI0K,36.4551,128.3508,65.51,경북 의성군 다인면 서부로 2846,1,2,우리넷,normal,45,21년8월,2024.09.30 08:57:58,6417,소방청,8530c5b7fffffff,4,부족,10,교체불필요,-,,,
63,SKM,01227587243,DDK07,35.6948,128.4448,23.36,대구 달성군 현풍읍 비슬로130길 102,1,2,우리넷,normal,0,20년1월,2024.09.30 08:57:58,480,SKT2,8530c1d7fffffff,6,양호,9,교체불필요,-,,,
64,FSM,01227587244,HADB1,34.9779,127.7955,3.67,경남 하동군 금성면 금성로 15,1,4,우리넷,normal,45,21년8월,2024.09.30 08:57:58,5293,소방청,8530c063fffffff,9,양호,3,교체필요,-,,,
65,SKM,01227587248,WAS0F,35.3293,129.0137,3.71,경남 양산시 물금읍 삽량로 40,1,8,우리넷,disc.,0,20년5월,2022.03.29 16:16:19,2881,대리점,-,,,,,-,,,
66,SKM,01227587249,YOC05,36.0121,128.7073,897.01,경북 영천시 신녕면 치산리 산 141-5,1,1,우리넷,normal,0,20년1월,2024.09.30 08:57:58,382,SKT1,8530c52ffffffff,5,부족,10,교체불필요,2,통품 불안정,,
67,SKM,01227587255,BOS02,34.7719,127.0747,159.76,전남 보성군 보성읍 주봉길 19,1,1,우리넷,disc.,0,20년1월,2022.10.13 15:19:08,683,SKT2,-,,,,,-,,,
68,FSM,01227587256,BOSBW,34.7802,127.2014,11.38,전남 보성군 득량면 예당길 186,1,1,우리넷,normal,45,21년8월,2024.09.30 08:57:58,6946,소방청,8530c287fffffff,7,양호,8,교체불필요,-,,,
69,FSM,01227587260,ASA0Z,36.786,127.0258,14.57,충남 아산시 모종로 77,2,3,우리넷,normal,45,21년8월,2024.09.30 08:57:58,6377,소방청,8530e3c7fffffff,11,양호,10,교체불필요,-,,,
70,SKM,01227587262,PDR0J,35.1963,129.1033,14.89,부산 동래구 충렬대로 412,1,7,우리넷,disc.,45,20년5월,2020.09.25 11:53:07,2740,대리점,-,,,,,-,,,
71,SKM,01227587281,PPG0B,35.2347,129.0105,5.95,부산 북구 화명신도시로 117,1,8,우리넷,disc.,45,20년5월,2024.03.30 17:19:43,3134,대리점,-,,,,,-,,,
72,SKM,01227587282,DPG07,35.9315,128.5489,34.02,대구 북구 구암로16길 12,2,3,우리넷,normal,0,20년1월,2024.09.30 08:57:58,1069,SKT1,8530c193fffffff,81,초과밀,9,교체불필요,-,,,
73,SKM,01227587284,KIH0K,35.2373,128.8668,4.82,경남 김해시 내외중앙로 81,1,9,우리넷,disc.,45,20년5월,0,3146,대리점,-,,,,,-,,,
74,SKM,01227587290,DSG03,35.8798,128.5459,29.29,대구 서구 북비산로 113-10,1,1,우리넷,normal,0,20년1월,2024.09.30 08:57:58,1062,SKT1,8530c193fffffff,81,초과밀,8,교체불필요,-,,,
75,SKM,01227587293,GUM07,36.139,128.4439,35.53,경북 구미시 산동읍 산호대로43길 8-19,3,3,우리넷,normal,45,20년1월,2024.09.30 08:57:58,453,SKT2,8530c533fffffff,9,양호,9,교체불필요,-,,,
76,SKM,01227587294,KIH0L,35.2373,128.8668,4.82,경남 김해시 내외중앙로 81,1,9,우리넷,normal,45,20년5월,2024.09.30 08:57:58,3147,대리점,8530c17bfffffff,33,과밀,10,교체불필요,-,,,
77,FSM,01227587295,KYU0Z,35.9978,129.2522,10.83,경북 경주시 강동면 양동마을길 65-48,1,1,우리넷,normal,45,21년8월,2024.09.30 08:57:58,5294,소방청,8530ea7bfffffff,7,양호,10,교체불필요,-,,,
78,SKM,01227587310,SAJ04,36.4024,128.1495,70.5,경북 상주시 경상대로 2860,1,2,우리넷,normal,45,20년1월,2024.09.30 08:57:58,1621,SKT1,8530c587fffffff,5,부족,9,교체불필요,-,,,
79,SKM,01227587318,DDS09,35.8423,128.5001,22.68,대구 달서구 성서서로 194,4,5,우리넷,normal,45,20년1월,2024.09.30 08:57:58,874,SKT1,8530c567fffffff,17,양호,,,-,,,
80,SKM,01227587320,DDS02,35.8327,128.5373,48.24,대구 달서구 학산로 97,3,6,우리넷,normal,0,20년1월,2024.09.30 08:57:58,268,SKT1,8530c193fffffff,81,초과밀,5,교체검토,-,,,
81,SKM,01227587321,DSS0A,35.8634,128.6183,44.32,대구 수성구 들안로 360,1,4,우리넷,normal,45,20년5월,2024.09.30 08:57:58,2848,대리점,8530c193fffffff,81,초과밀,9,교체불필요,-,,,
82,SKM,01227587326,JUN1D,37.4665,128.7117,505.92,강원 정선군 여량면 여량리 산 163-1,1,1,우리넷,normal,0,22년 하반기 이후,2024.09.30 08:57:59,7391,SKT1,8530e8d3fffffff,2,부족,,,-,,,
83,SKM,01227587328,DDH01,35.9135,128.6414,34.72,대구 동구 팔공로 166,4,5,우리넷,disc.,0,20년1월,2022.07.20 12:14:19,227,SKT1,-,,,,,-,,,
84,SKM,01227587330,BON01,36.8825,128.7495,325.9,경북 봉화군 봉화읍 거촌리 665,1,1,우리넷,normal,0,20년1월,2024.09.30 08:57:58,265,SKT1,8530ee2bfffffff,5,부족,10,교체불필요,-,,,
85,POM,01227587340,JUE0B,35.5671,126.852,41.21,전북 정읍시 중앙로 119,1,3,우리넷,normal,0,21년8월,2024.09.30 08:57:58,5116,우정사업본부,8530c47bfffffff,10,양호,,,-,,,
86,SKM,01227587341,CHI04,35.9871,128.4058,37.13,경북 칠곡군 왜관읍 평장2길 25,2,2,우리넷,normal,45,20년1월,2024.09.30 08:57:58,332,SKT2,8530c52bfffffff,11,양호,7,교체불필요,2,통품 불안정,,
87,SKM,01227587347,CHD03,35.6477,128.7404,76.54,경북 청도군 청도읍 냉정길 23,1,2,우리넷,normal,0,20년1월,2024.09.30 08:57:58,530,SKT1,8530c113fffffff,8,양호,8,교체불필요,-,,,
88,FSM,01227587348,DAN0E,37.0783,128.4878,185.09,충북 단양군 영춘면 온달평강3로 9-1,2,2,우리넷,normal,45,21년8월,2024.09.30 08:57:58,6985,소방청,8530ee07fffffff,2,부족,10,교체불필요,-,,,
89,SKM,01227587349,CHS02,36.5517,128.9968,379.78,경북 청송군 진보면 추현리 산 81-1,1,1,우리넷,normal,0,20년1월,2024.09.30 08:57:58,593,SKT1,8530ea8bfffffff,2,부족,6,관찰필요,-,,,
90,SKM,01227587354,GSG05,35.1219,126.8826,80.38,광주 서구 풍암순환로109번길 16,2,4,우리넷,normal,0,20년1월,2024.09.30 08:57:59,1161,SKT1,8530c633fffffff,30,과밀,9,교체불필요,-,,,
91,SKM,01227587357,CHD02,35.6353,128.9014,529.4,경북 청도군 매전면 오남길 365-141,1,1,우리넷,disc.,0,20년1월,2022.12.16 11:33:46,295,SKT1,-,,,,,-,,,
92,SKM,01227587358,PSY07,35.1578,129.1134,19.79,부산 수영구 수영로 584,1,4,우리넷,disc.,45,20년5월,2021.07.17 11:35:41,2691,대리점,-,,,,,-,,,
93,SKM,01227587360,GUM0A,36.1206,128.3528,34.93,경북 구미시 구미중앙로 294,3,3,우리넷,disc.,45,20년1월,2024.08.08 17:43:24,1147,SKT1,-,,,,,-,,,
94,SKM,01227587362,DDS03,35.8139,128.5248,36.5,대구 달서구 월배로 92,8,8,우리넷,normal,45,20년1월,2024.09.30 08:57:58,269,SKT1,8530c19bfffffff,10,양호,2,교체시급,-,,,
95,SKM,01227587363,GUM0D,36.1618,128.461,48.37,경북 구미시 산동읍 임천인덕로 300-1,1,1,우리넷,normal,0,20년1월,2024.09.30 08:57:58,1968,SKT1,8530c533fffffff,9,양호,7,교체불필요,2,통품 불안정,,
96,SKM,01227587365,KYS0E,35.7922,128.8764,79.66,경북 경산시 용성면 원효로 1438,1,1,우리넷,normal,0,20년1월,2024.09.30 08:57:58,1708,SKT1,8530c187fffffff,5,부족,8,교체불필요,-,,,
97,SKM,01227587367,PKJ09,35.2447,129.2166,10.49,부산 기장군 기장읍 차성동로 77-1,1,3,우리넷,normal,45,20년5월,2024.09.30 08:57:58,3017,대리점,8530c167fffffff,18,양호,10,교체불필요,-,,,
98,SKM,01227587369,ULJ09,36.9264,129.2618,466.76,경북 울진군 금강송면 왕피길 51,1,1,우리넷,normal,0,20년1월,2024.09.30 08:57:58,326,SKT1,8530e84ffffffff,1,부족,9,교체불필요,-,,,
99,SKM,01227587372,PDG08,35.1292,129.0475,9.82,부산 동구 중앙대로371번길 21,1,3,우리넷,disc.,45,20년5월,2022.12.09 20:29:26,2692,대리점,-,,,,,-,,,
100,SKM,01227587374,PSG05,35.113,129.0165,43.18,부산 서구 구덕로328번길 4,1,4,우리넷,normal,45,20년5월,2024.09.30 08:57:58,2680,대리점,8530c16bfffffff,77,초과밀,7,교체불필요,-,,,
